DisplayName, Password, Type, DefaultGroupName, CCC, Email/PhoneNumber, SIP, AdminStateEnabled, FirstName, MiddleName, LastName, CreationTime, DeviceName, OperatorName, LicenseName, LicenseMask, PrimarySiteName, SecondarySiteName
4865784575 ,  ,Mobile , ,972 ,4865784575 , ,True ,4865784575 , ,Jay ,2017-07-10 16:25:08.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784576 ,  ,Mobile , ,972 ,4865784576 , ,True ,4865784576 , ,Jay ,2017-07-10 16:27:50.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784577 ,  ,Mobile , ,972 ,4865784577 , ,True ,4865784577 , ,Jay ,2017-07-10 16:29:42.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784578 ,  ,Mobile , ,972 ,4865784578 , ,True ,4865784578 , ,Jay ,2017-07-11 08:22:41.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784579 ,  ,Mobile , ,972 ,4865784579 , ,True ,4865784579 , ,Jay ,2017-07-11 08:25:08.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784580 ,  ,Mobile , ,972 ,4865784580 , ,True ,4865784580 , ,Jay ,2017-07-11 12:03:59.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784581 ,  ,Mobile , ,972 ,4865784581 , ,True ,4865784581 , ,Jay ,2017-07-11 12:08:53.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784582 ,  ,Mobile , ,972 ,4865784582 , ,True ,4865784582 , ,Jay ,2017-07-11 12:11:23.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784583 ,  ,Mobile , ,972 ,4865784583 , ,True ,4865784583 , ,Jay ,2017-07-11 12:13:51.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784584 ,  ,Mobile , ,972 ,4865784584 , ,True ,4865784584 , ,Jay ,2017-07-11 12:35:59.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784585 ,  ,Mobile , ,972 ,4865784585 ,9724865784585@1h.com ,True ,4865784585 , ,Jay ,2017-07-11 12:44:02.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784586 ,  ,Mobile , ,972 ,4865784586 , ,True ,4865784586 , ,Jay ,2017-07-11 12:46:19.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
4865784587 ,  ,Mobile , ,972 ,4865784587 ,9724865784587@1h.com ,True ,4865784587 , ,Jay ,2017-07-11 13:13:13.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784588 ,  ,Mobile , ,972 ,4865784588 ,9724865784588@1h.com ,True ,4865784588 , ,Jay ,2017-07-11 13:14:28.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784589 ,  ,Mobile , ,972 ,4865784589 ,9724865784589@1h.com ,True ,4865784589 , ,Jay ,2017-07-11 13:26:19.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784590 ,  ,Mobile , ,972 ,4865784590 ,9724865784590@1h.com ,True ,4865784590 , ,Jay ,2017-07-11 13:56:16.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784591 ,  ,Mobile , ,972 ,4865784591 ,9724865784591@1h.com ,True ,4865784591 , ,Jay ,2017-07-11 14:16:45.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784592 ,  ,Mobile , ,972 ,4865784592 ,9724865784592@1h.com ,True ,4865784592 , ,Jay ,2017-07-11 14:28:41.0 ,MyDeviceType ,UNKNOWN ,ALL (OffNet) ,984191 ,IPRSD ,IPRSD ,
4865784593 ,  ,Mobile , ,972 ,4865784593 ,9724865784593@1h.com ,True ,4865784593 , ,Jay ,2017-07-11 21:24:23.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784594 ,  ,Mobile , ,972 ,4865784594 ,9724865784594@1h.com ,True ,4865784594 , ,Jay test 156 ,2017-07-12 09:39:41.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784595 ,  ,Mobile , ,972 ,4865784595 ,9724865784595@1h.com ,True ,4865784595 , ,Jay ,2017-07-12 09:46:44.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784596 ,  ,Mobile , ,972 ,4865784596 ,9724865784596@1h.com ,True ,4865784596 , ,Jay ,2017-07-12 10:52:53.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784597 ,  ,Mobile , ,972 ,4865784597 ,9724865784597@1h.com ,True ,4865784597 , ,Jay ,2017-07-12 10:54:15.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784598 ,  ,Mobile , ,972 ,4865784598 ,9724865784598@1h.com ,True ,4865784598 , ,Jay ,2017-07-12 14:19:31.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784599 ,  ,Mobile , ,972 ,4865784599 ,9724865784599@1h.com ,True ,4865784599 , ,Jay ,2017-07-12 15:21:17.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784600 ,  ,Mobile , ,972 ,4865784600 ,9724865784600@1h.com ,True ,4865784600 , ,Jay ,2017-07-12 15:36:07.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784601 ,  ,Mobile , ,972 ,4865784601 ,9724865784601@1h.com ,True ,4865784601 , ,Jay ,2017-07-17 12:34:07.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784602 ,  ,Mobile , ,972 ,4865784602 ,9724865784602@1h.com ,True ,4865784602 , ,Jay ,2017-07-17 12:44:12.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
4865784603 ,  ,Mobile , ,972 ,4865784603 ,9724865784603@1h.com ,True ,4865784603 , ,Jay ,2017-07-17 12:50:19.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846043 ,  ,Mobile , ,972 ,48657846043 ,97248657846043@1h.com ,True ,48657846043 , ,Jay ,2017-07-17 12:59:26.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846044 ,  ,Mobile , ,972 ,48657846044 ,97248657846044@1h.com ,True ,48657846044 , ,Jay ,2017-07-18 08:23:55.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846045 ,  ,Mobile , ,972 ,48657846045 ,97248657846045@1h.com ,True ,48657846045 , ,Jay ,2017-07-18 08:26:11.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846047 ,  ,Mobile , ,972 ,48657846047 ,97248657846047@1h.com ,True ,48657846047 , ,Jay ,2017-07-19 20:11:57.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846048 ,  ,Mobile , ,972 ,48657846048 ,97248657846048@1h.com ,True ,48657846048 , ,  ,2017-07-19 20:17:17.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846049 ,  ,Mobile , ,972 ,48657846049 ,97248657846049@1h.com ,True ,48657846049 , ,Jay ,2017-08-03 09:27:49.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846050 ,  ,Mobile , ,972 ,48657846050 ,97248657846050@1h.com ,True ,48657846050 , ,Jay ,2017-08-03 09:30:52.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846051 ,  ,Mobile , ,972 ,48657846051 ,97248657846051@1h.com ,True ,48657846051 , ,Jay ,2017-08-03 09:32:51.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846052 ,  ,Mobile , ,972 ,48657846052 ,97248657846052@1h.com ,True ,48657846052 , ,Jay ,2017-08-03 09:50:02.0 ,MyDeviceType ,UNKNOWN ,ALL ,984183 ,IPRSD ,IPRSD ,
48657846053 ,  ,Mobile , ,972 ,48657846053 ,97248657846053@1h.com ,True ,48657846053 , ,Jay ,2017-08-03 10:10:25.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846054 ,  ,Mobile , ,972 ,48657846054 ,97248657846054@1h.com ,True ,48657846054 , ,Jay ,2017-08-03 10:12:01.0 ,MyDeviceType ,UNKNOWN ,ALL ,984183 ,IPRSD ,IPRSD ,
48657846055 ,  ,Mobile , ,972 ,48657846055 ,97248657846055@1h.com ,True ,48657846055 , ,Jay ,2017-08-03 13:26:01.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846056 ,  ,Mobile , ,972 ,48657846056 , ,True ,48657846056 , ,Jay ,2017-08-03 16:03:28.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846057 ,  ,Mobile , ,972 ,48657846057 ,97248657846057@1h.com ,True ,48657846057 , ,Jay ,2017-08-03 16:08:57.0 ,MyDeviceType ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
48657846058 ,  ,Mobile , ,972 ,48657846058 , ,True ,48657846058 , ,Jay ,2017-08-03 16:13:15.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846059 ,  ,Mobile , ,972 ,48657846059 , ,True ,48657846059 , ,Jay ,2017-08-03 16:15:47.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846060 ,  ,Mobile , ,972 ,48657846060 ,97248657846060@1h.com ,True ,48657846060 , ,Jay ,2017-08-03 17:10:19.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846061 ,  ,Mobile , ,972 ,48657846061 , ,True ,48657846061 , ,Jay ,2017-08-03 21:15:21.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846062 ,  ,Mobile , ,972 ,48657846062 , ,True ,48657846062 , ,Jay ,2017-08-03 21:22:06.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846063 ,  ,Mobile , ,972 ,48657846063 , ,True ,48657846063 , ,Jay ,2017-08-04 08:54:34.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846064 ,  ,Mobile , ,972 ,48657846064 , ,True ,48657846064 , ,Jay ,2017-08-04 09:05:10.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846065 ,  ,Mobile , ,972 ,48657846065 , ,True ,48657846065 , ,Jay ,2017-08-04 10:24:22.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846066 ,  ,Mobile , ,972 ,48657846066 , ,True ,48657846066 , ,Jay ,2017-08-04 10:41:45.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846067 ,  ,Mobile , ,972 ,48657846067 , ,True ,48657846067 , ,Jay ,2017-08-04 10:55:19.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846068 ,  ,Mobile , ,972 ,48657846068 , ,True ,48657846068 , ,Jay ,2017-08-04 11:00:49.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846069 ,  ,Mobile , ,972 ,48657846069 , ,True ,48657846069 , ,Jay ,2017-08-04 12:40:54.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846070 ,  ,Mobile , ,972 ,48657846070 , ,True ,48657846070 , ,Jay ,2017-08-04 12:51:27.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846072 ,  ,Mobile , ,972 ,48657846072 , ,True ,48657846072 , ,Jay ,2017-08-04 13:07:00.0 , , ,PTT ,0 ,IPRSD ,IPRSD ,
48657846073 ,  ,Mobile , ,972 ,48657846073 ,97248657846073@1h.com ,True ,48657846073 , ,Jay ,2017-08-04 13:30:10.0 ,MyDeviceType ,UNKNOWN ,ALL ,984183 ,IPRSD ,IPRSD ,
48657846075 ,  ,Mobile , ,972 ,48657846075 ,97248657846075@1h.com ,True ,48657846075 , ,Jay ,2017-08-04 13:56:56.0 ,MyDeviceType ,UNKNOWN ,ALL ,984183 ,IPRSD ,IPRSD ,
547300952 ,  ,Mobile , ,972 ,547300952 ,972547300952@1h.com ,True ,547300952 ,  ,  ,2017-09-05 13:14:29.0 ,UNKNOWN ,UNKNOWN ,ALL ,984183 ,IPRSD ,IPRSD ,
sdfs ,  ,Mobile , ,0 , ,04356346547@1h.com ,True ,sdf ,  ,  ,2017-09-19 18:54:51.0 ,UNKNOWN ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
dgd ,  ,Mobile , ,0 , ,034563637@1h.com ,True ,dgdgd ,  ,  ,2017-09-19 18:58:21.0 ,UNKNOWN ,UNKNOWN ,PTT ,0 ,IPRSD ,IPRSD ,
